;;;;;;
9;ICME_Wind_MOESTL_20201005_01;1;;;;
19;ICME_Wind_MOESTL_20200724_01;0;;;;
28;ICME_Wind_MOESTL_20200529_01;0;;;;
31;ICME_Wind_MOESTL_20200420_01;1;;;;
33;ICME_Wind_MOESTL_20200217_01;0;;;;
40;ICME_Wind_MOESTL_20191111_01;0;;;;
42;ICME_Wind_MOESTL_20191029_01;1;;;;
46;ICME_Wind_MOESTL_20190820_01;1;;;;
53;ICME_Wind_MOESTL_20190527_01;1;;;;
55;ICME_Wind_MOESTL_20190513_01;1;;;;
56;ICME_Wind_MOESTL_20190510_01;1;;;;
68;ICME_Wind_MOESTL_20180907_01;1;;;;
69;ICME_Wind_MOESTL_20180825_01;0;;;;
70;ICME_Wind_MOESTL_20180811_01;0;;;;
75;ICME_Wind_MOESTL_20180710_01;0;;;;
77;ICME_Wind_MOESTL_20180606_01;0;;;;
78;ICME_Wind_MOESTL_20180309_01;1;;;;
80;ICME_Wind_MOESTL_20171224_01;1;;;;
86;ICME_Wind_MOESTL_20170907_01;1;;;;
87;ICME_Wind_MOESTL_20170906_01;1;;;;
91;ICME_Wind_MOESTL_20170716_01;1;;;;
95;ICME_Wind_MOESTL_20170527_01;1;;;;
96;ICME_Wind_MOESTL_20170413_01;0;;;;
97;ICME_Wind_MOESTL_20170409_01;0;;;;
99;ICME_Wind_MOESTL_20170404_01;0;;;;
105;ICME_Wind_MOESTL_20161012_01;1;;;;
106;ICME_Wind_MOESTL_20160914_01;0;;;;
109;ICME_Wind_MOESTL_20160802_01;0;;;;
110;ICME_Wind_MOESTL_20160724_01;1;;;;
112;ICME_Wind_MOESTL_20160719_01;1;;;;
114;ICME_Wind_MOESTL_20160417_01;0;;;;
115;ICME_Wind_MOESTL_20160416_01;0;;;;
117;ICME_Wind_MOESTL_20160414_01;1;;;;
120;ICME_Wind_MOESTL_20160118_01;1;;;;
123;ICME_Wind_MOESTL_20151231_01;1;;;;
124;ICME_Wind_NASA_20151219_01;1;;;;
126;ICME_Wind_NASA_20151106_01;1;;;;
127;ICME_Wind_NASA_20151024_01;1;;;;
129;ICME_Wind_NASA_20150907_01;1;;;;
132;ICME_Wind_NASA_20150622_01;1;;;;
133;ICME_Wind_NASA_20150510_01;0;;;;
134;ICME_Wind_NASA_20150508_01;0;;;;
135;ICME_Wind_NASA_20150506_01;1;;;;
137;ICME_Wind_NASA_20150409_01;1;;;;
139;ICME_Wind_NASA_20150331_01;1;;;;
140;ICME_Wind_NASA_20150328_01;0;;;;
146;ICME_Wind_NASA_20150107_01;1;;;;
155;ICME_Wind_NASA_20140912_01;1;;;;
161;ICME_Wind_NASA_20140826_01;0;;;;
162;ICME_Wind_NASA_20140819_01;1;;;;
171;ICME_Wind_NASA_20140703_01;1;;;;
175;ICME_Wind_NASA_20140629_01;0;;;;
178;ICME_Wind_NASA_20140622_01;0;;;;
185;ICME_Wind_NASA_20140607_01;1;;;;
191;ICME_Wind_NASA_20140420_01;1;;;;
197;ICME_Wind_NASA_20140405_01;0;;;;
215;ICME_Wind_NASA_20140218_01;1;;;;
218;ICME_Wind_NASA_20140215_01;1;;;;
224;ICME_Wind_NASA_20140205_01;0;;;;
241;ICME_Wind_NASA_20131224_01;0;;;;
244;ICME_Wind_NASA_20131214_01;0;;;;
247;ICME_Wind_NASA_20131208_01;1;;;;
249;ICME_Wind_NASA_20131130_01;0;;;;
254;ICME_Wind_NASA_20131123_01;0;;;;
259;ICME_Wind_NASA_20131108_01;0;;;;
277;ICME_Wind_NASA_20131002_01;1;;;;
285;ICME_Wind_NASA_20130901_01;0;;;;
295;ICME_Wind_NASA_20130712_01;1;;;;
298;ICME_Wind_NASA_20130704_01;0;;;;
300;ICME_Wind_NASA_20130627_01;1;;;;
304;ICME_Wind_NASA_20130606_01;0;;;;
311;ICME_Wind_NASA_20130514_01;0;;;;
317;ICME_Wind_NASA_20130430_01;1;;;;
326;ICME_Wind_NASA_20130413_01;1;;;;
331;ICME_Wind_NASA_20130317_01;1;;;;
345;ICME_Wind_NASA_20130119_01;1;;;;
346;ICME_Wind_NASA_20130118_01;0;;;;
347;ICME_Wind_NASA_20130116_01;0;;;;
355;ICME_Wind_NASA_20121123_01;1;;;;
362;ICME_Wind_NASA_20121112_01;1;;;;
368;ICME_Wind_NASA_20121031_01;1;;;;
375;ICME_Wind_NASA_20121012_01;0;;;;
378;ICME_Wind_NASA_20121008_01;1;;;;
380;ICME_Wind_NASA_20120930_01;1;;;;
393;ICME_Wind_NASA_20120906_01;0;;;;
394;ICME_Wind_NASA_20120904_01;1;;;;
400;ICME_Wind_NASA_20120818_01;0;;;;
402;ICME_Wind_NASA_20120812_01;0;;;;
413;ICME_Wind_MOESTL_20120714_01;1;;;;
416;ICME_Wind_NASA_20120708_01;0;;;;
424;ICME_Wind_MOESTL_20120616_01;1;;;;
428;ICME_Wind_NASA_20120611_01;0;;;;
433;ICME_Wind_NASA_20120516_01;0;;;;
437;ICME_Wind_NASA_20120503_01;1;;;;
439;ICME_Wind_NASA_20120423_01;1;;;;
444;ICME_Wind_NASA_20120405_01;0;;;;
451;ICME_Wind_NASA_20120315_01;1;;;;
452;ICME_Wind_NASA_20120312_01;1;;;;
456;ICME_Wind_NASA_20120308_01;1;;;;
464;ICME_Wind_NASA_20120226_01;1;;;;
466;ICME_Wind_NASA_20120214_01;0;;;;
473;ICME_Wind_MOESTL_20120124_01;0;;;;
474;ICME_Wind_NASA_20120122_01;1;;;;
475;ICME_Wind_NASA_20120121_01;1;;;;
495;ICME_Wind_NASA_20111128_01;1;;;;
505;ICME_Wind_NASA_20111107_01;0;;;;
509;ICME_Wind_NASA_20111104_01;1;;;;
511;ICME_Wind_NASA_20111102_01;1;;;;
515;ICME_Wind_NASA_20111024_01;1;;;;
520;ICME_Wind_NASA_20111005_01;1;;;;
530;ICME_Wind_NASA_20110917_01;1;;;;
531;ICME_Wind_MOESTL_20110909_01;0;;;;
542;ICME_Wind_NASA_20110630_01;0;;;;
547;ICME_Wind_NASA_20110617_01;1;;;;
552;ICME_Wind_NASA_20110604_01;1;;;;
555;ICME_Wind_NASA_20110528_01;0;;;;
560;ICME_Wind_NASA_20110429_01;0;;;;
577;ICME_Wind_NASA_20110329_01;1;;;;
590;ICME_Wind_MOESTL_20110218_02;1;;;;
591;ICME_Wind_MOESTL_20110218_01;1;;;;
593;ICME_Wind_MOESTL_20110204_01;0;;;;
598;ICME_Wind_NASA_20110124_01;0;;;;
604;ICME_Wind_NASA_20101219_01;1;;;;
614;ICME_Wind_NASA_20101031_01;0;;;;
616;ICME_Wind_MOESTL_20101030_01;0;;;;
618;ICME_Wind_NASA_20100925_01;0;;;;
633;ICME_Wind_NASA_20100803_01;1;;;;
642;ICME_Wind_NASA_20100621_01;0;;;;
651;ICME_Wind_NASA_20100528_01;1;;;;
652;ICME_Wind_NASA_20100518_01;0;;;;
655;ICME_Wind_NASA_20100411_01;1;;;;
656;ICME_Wind_NASA_20100405_01;1;;;;
